url,title_raw,cusine_check,cite,count_review,cusine,check,title,address,count_photo,rating,normalized_rating,category_raw,category,rating_by_category
https://www.tripadvisor.ru/Restaurant_Review-g608960-d14141661-Reviews-Yummy_Oysters-Anapa_Krasnodar_Krai_Southern_District.html,1. Yummy Oysters,"Морепродукты, Средиземноморская|$","“Гастрономический восторг.”
“Устрицы в Анапе”",171.0,"Морепродукты, Средиземноморская",$,Yummy,"ул. Терская, 130/8, Анапа 353440 Россия",206,5.0,1.711312630480167,№ 1 из 262 – Рестораны – Анапа,Рестораны,1.7101285283384866
https://www.tripadvisor.ru/Restaurant_Review-g608960-d8434709-Reviews-Brookwin-Anapa_Krasnodar_Krai_Southern_District.html,2. Бруквин,"Морепродукты, Средиземноморская|$$ - $$$","“20 из 10! Интерьер супер,”
“Персонал хорошо знает свой ассортимент”",512.0,"Морепродукты, Средиземноморская",$$ - $$$,Бруквин,"ул. Ленина, 10, Анапа 353440 Россия",446,4.5,2.673211734974178,№ 2 из 262 – Рестораны – Анапа,Рестораны,2.6479516118492326
https://www.tripadvisor.ru/Restaurant_Review-g608960-d12652805-Reviews-Matsoni-Anapa_Krasnodar_Krai_Southern_District.html,3. МАЦОНИ,"Грузинская, Уличная еда|$$ - $$$","“Хорошее место”
“Европейский ресторан с грузинским...”",404.0,"Грузинская, Уличная еда",$$ - $$$,МАЦОНИ,"ул.Ленина,3 Краснодарский край, Анапа 353440 Россия",479,4.5,2.5644736842105265,№ 3 из 262 – Рестораны – Анапа,Рестораны,2.5389209225700164
https://www.tripadvisor.ru/Restaurant_Review-g608960-d2327885-Reviews-La_veranda-Anapa_Krasnodar_Krai_Southern_District.html,4. La veranda,Итальянская|$$ - $$$,"“Ну так….”
“Вкусная паста, хорошее расположение...”",608.0,Итальянская,$$ - $$$,La,"ул. Ленина, 3, Анапа 353440 Россия",398,4.0,2.6308977035490604,№ 4 из 262 – Рестораны – Анапа,Рестораны,2.5808977035490606
https://www.tripadvisor.ru/Restaurant_Review-g608960-d14204957-Reviews-Myasnoy_Bro-Anapa_Krasnodar_Krai_Southern_District.html,5. Мясной Бро,"Американская, Европейская|$","“Вкусные бургеры”
“Превосходно!!!!🙂”",119.0,"Американская, Европейская",$,Мясной,"ул.Ленина 82, Анапа 353454 Россия",164,4.5,1.4381036424568727,№ 1 из 15 – Американская – Анапа,Американская,2.75
https://www.tripadvisor.ru/Restaurant_Review-g608960-d23448805-Reviews-More_Myaso-Anapa_Krasnodar_Krai_Southern_District.html,Море&Мясо,"Итальянская, Американская|$$ - $$$","“Самые лучшие”
“Ресторан который рекомендуем посетить”",9.0,"Итальянская, Американская",$$ - $$$,Море,"Набережная,  23а Рядом с воднолыжным парком, Анапа 353440 Россия",24,5.0,1.064907015712559,№ 22 из 47 – Итальянская – Анапа,Итальянская,1.1892773892773891
https://www.tripadvisor.ru/Restaurant_Review-g608960-d12460726-Reviews-Berlin-Anapa_Krasnodar_Krai_Southern_District.html,6. Ресторан Берлин,"Немецкая, Паб с пивоварней|$","“Пивное чревоугодие”
“Отличный паб”",148.0,"Немецкая, Паб с пивоварней",$,Ресторан,"ул. Ленина, 6, Анапа 353440 Россия",162,4.5,1.4816256455334578,№ 1 из 4 – Немецкая – Анапа,Немецкая,3.0
https://www.tripadvisor.ru/Restaurant_Review-g608960-d19879447-Reviews-The_Room-Anapa_Krasnodar_Krai_Southern_District.html,7. The Room,"Итальянская, Европейская|$$ - $$$","“Любимое место”
“Уютно, атмосферно, вкусно 😍”",41.0,"Итальянская, Европейская",$$ - $$$,The,"Краснодарская, 66, Анапа 353440 Россия",55,5.0,1.1822567574991758,№ 3 из 47 – Итальянская – Анапа,Итальянская,1.5852758352758352
https://www.tripadvisor.ru/Restaurant_Review-g608960-d2327856-Reviews-Prague-Anapa_Krasnodar_Krai_Southern_District.html,8. Прага,"Европейская, Чешская|$$ - $$$","“Достойное место для обеда”
“Неплохое местоЦена соответсвует”",179.0,"Европейская, Чешская",$$ - $$$,Прага,"Горького ул., 2Г, Анапа 353440 Россия",77,4.0,1.2551594604988463,№ 8 из 262 – Рестораны – Анапа,Рестораны,1.2039970352842446
https://www.tripadvisor.ru/Restaurant_Review-g608960-d10497264-Reviews-Provence-Anapa_Krasnodar_Krai_Southern_District.html,9. Ресторан Прованс,"Морепродукты, Средиземноморская|$","“Хороший ресторан без фанатизма”
“Очень приятное место!!!!”",144.0,"Морепродукты, Средиземноморская",$,Ресторан,"ул. Горького, 1В справа от Летней Эстрады, Анапа 353440 Россия",180,4.5,1.5126249862652454,№ 4 из 47 – Итальянская – Анапа,Итальянская,2.8333333333333335
https://www.tripadvisor.ru/Restaurant_Review-g608960-d8472229-Reviews-Galereya-Anapa_Krasnodar_Krai_Southern_District.html,10. Кафе Галерея,"Европейская, Морепродукты|$$ - $$$","“Гастрономическая кухня”
“Отлично, но...”",127.0,"Европейская, Морепродукты",$$ - $$$,Кафе,"ул. Новoроссийская Grebenskaya Street, Анапа 353440 Россия",107,4.5,1.3322636248763873,№ 1 из 21 – Кафе – Анапа,Кафе,2.75
https://www.tripadvisor.ru/Restaurant_Review-g608960-d7298400-Reviews-Cafe_Kapitan-Anapa_Krasnodar_Krai_Southern_District.html,Кафе Капитан,"Морепродукты, Средиземноморская|$$ - $$$","“Светло и вкусно!!!”
“Восторг от места, атмосферы, кухни”",106.0,"Морепродукты, Средиземноморская",$$ - $$$,Кафе,"ул. Набережная, 3 Отель Капитан, Анапа 353440 Россия",134,3.5,1.1540915833424898,№ 243 из 262 – Рестораны – Анапа,Рестораны,1.077731356168294
https://www.tripadvisor.ru/Restaurant_Review-g608960-d6025030-Reviews-Lubo_Coffee-Anapa_Krasnodar_Krai_Southern_District.html,11. Любо-cafe,"Кафе, Европейская|$$ - $$$","“Любо или не любо, вот в чем вопрос.”
“Анапа 2018”",207.0,"Кафе, Европейская",$$ - $$$,Любо,"Горького, 3, Анапа 353440 Россия",113,4.0,1.376368668278211,№ 11 из 262 – Рестораны – Анапа,Рестораны,1.3252821123083853
